Fecha;diavac;Total.Dosis.1;Total.Dosis.2;Total.Dosis.R;X1era.Dosis.Sinovac;X2da.Dosis.Sinovac;Refuerzo.Dosis.Sinovac;X1era.Dosis.Pfizer;X2da.Dosis.Pfizer;Refuerzo.Dosis.Pfizer;X1era.Dosis.Astrazeneca;X2da.Dosis.Astrazeneca;Refuerzo.Dosis.Astrazeneca
13/3/20;1;0;0;0;0;0;0;0;0;0;0;0;0
14/3/20;2;0;0;0;0;0;0;0;0;0;0;0;0
15/3/20;3;0;0;0;0;0;0;0;0;0;0;0;0
16/3/20;4;0;0;0;0;0;0;0;0;0;0;0;0
17/3/20;5;0;0;0;0;0;0;0;0;0;0;0;0
18/3/20;6;0;0;0;0;0;0;0;0;0;0;0;0
19/3/20;7;0;0;0;0;0;0;0;0;0;0;0;0
20/3/20;8;0;0;0;0;0;0;0;0;0;0;0;0
21/3/20;9;0;0;0;0;0;0;0;0;0;0;0;0
22/3/20;10;0;0;0;0;0;0;0;0;0;0;0;0
23/3/20;11;0;0;0;0;0;0;0;0;0;0;0;0
24/3/20;12;0;0;0;0;0;0;0;0;0;0;0;0
25/3/20;13;0;0;0;0;0;0;0;0;0;0;0;0
26/3/20;14;0;0;0;0;0;0;0;0;0;0;0;0
27/3/20;15;0;0;0;0;0;0;0;0;0;0;0;0
28/3/20;16;0;0;0;0;0;0;0;0;0;0;0;0
29/3/20;17;0;0;0;0;0;0;0;0;0;0;0;0
30/3/20;18;0;0;0;0;0;0;0;0;0;0;0;0
31/3/20;19;0;0;0;0;0;0;0;0;0;0;0;0
1/4/20;20;0;0;0;0;0;0;0;0;0;0;0;0
2/4/20;21;0;0;0;0;0;0;0;0;0;0;0;0
3/4/20;22;0;0;0;0;0;0;0;0;0;0;0;0
4/4/20;23;0;0;0;0;0;0;0;0;0;0;0;0
5/4/20;24;0;0;0;0;0;0;0;0;0;0;0;0
6/4/20;25;0;0;0;0;0;0;0;0;0;0;0;0
7/4/20;26;0;0;0;0;0;0;0;0;0;0;0;0
8/4/20;27;0;0;0;0;0;0;0;0;0;0;0;0
9/4/20;28;0;0;0;0;0;0;0;0;0;0;0;0
10/4/20;29;0;0;0;0;0;0;0;0;0;0;0;0
11/4/20;30;0;0;0;0;0;0;0;0;0;0;0;0
12/4/20;31;0;0;0;0;0;0;0;0;0;0;0;0
13/4/20;32;0;0;0;0;0;0;0;0;0;0;0;0
14/4/20;33;0;0;0;0;0;0;0;0;0;0;0;0
15/4/20;34;0;0;0;0;0;0;0;0;0;0;0;0
16/4/20;35;0;0;0;0;0;0;0;0;0;0;0;0
17/4/20;36;0;0;0;0;0;0;0;0;0;0;0;0
18/4/20;37;0;0;0;0;0;0;0;0;0;0;0;0
19/4/20;38;0;0;0;0;0;0;0;0;0;0;0;0
20/4/20;39;0;0;0;0;0;0;0;0;0;0;0;0
21/4/20;40;0;0;0;0;0;0;0;0;0;0;0;0
22/4/20;41;0;0;0;0;0;0;0;0;0;0;0;0
23/4/20;42;0;0;0;0;0;0;0;0;0;0;0;0
24/4/20;43;0;0;0;0;0;0;0;0;0;0;0;0
25/4/20;44;0;0;0;0;0;0;0;0;0;0;0;0
26/4/20;45;0;0;0;0;0;0;0;0;0;0;0;0
27/4/20;46;0;0;0;0;0;0;0;0;0;0;0;0
28/4/20;47;0;0;0;0;0;0;0;0;0;0;0;0
29/4/20;48;0;0;0;0;0;0;0;0;0;0;0;0
30/4/20;49;0;0;0;0;0;0;0;0;0;0;0;0
1/5/20;50;0;0;0;0;0;0;0;0;0;0;0;0
2/5/20;51;0;0;0;0;0;0;0;0;0;0;0;0
3/5/20;52;0;0;0;0;0;0;0;0;0;0;0;0
4/5/20;53;0;0;0;0;0;0;0;0;0;0;0;0
5/5/20;54;0;0;0;0;0;0;0;0;0;0;0;0
6/5/20;55;0;0;0;0;0;0;0;0;0;0;0;0
7/5/20;56;0;0;0;0;0;0;0;0;0;0;0;0
8/5/20;57;0;0;0;0;0;0;0;0;0;0;0;0
9/5/20;58;0;0;0;0;0;0;0;0;0;0;0;0
10/5/20;59;0;0;0;0;0;0;0;0;0;0;0;0
11/5/20;60;0;0;0;0;0;0;0;0;0;0;0;0
12/5/20;61;0;0;0;0;0;0;0;0;0;0;0;0
13/5/20;62;0;0;0;0;0;0;0;0;0;0;0;0
14/5/20;63;0;0;0;0;0;0;0;0;0;0;0;0
15/5/20;64;0;0;0;0;0;0;0;0;0;0;0;0
16/5/20;65;0;0;0;0;0;0;0;0;0;0;0;0
17/5/20;66;0;0;0;0;0;0;0;0;0;0;0;0
18/5/20;67;0;0;0;0;0;0;0;0;0;0;0;0
19/5/20;68;0;0;0;0;0;0;0;0;0;0;0;0
20/5/20;69;0;0;0;0;0;0;0;0;0;0;0;0
21/5/20;70;0;0;0;0;0;0;0;0;0;0;0;0
22/5/20;71;0;0;0;0;0;0;0;0;0;0;0;0
23/5/20;72;0;0;0;0;0;0;0;0;0;0;0;0
24/5/20;73;0;0;0;0;0;0;0;0;0;0;0;0
25/5/20;74;0;0;0;0;0;0;0;0;0;0;0;0
26/5/20;75;0;0;0;0;0;0;0;0;0;0;0;0
27/5/20;76;0;0;0;0;0;0;0;0;0;0;0;0
28/5/20;77;0;0;0;0;0;0;0;0;0;0;0;0
29/5/20;78;0;0;0;0;0;0;0;0;0;0;0;0
30/5/20;79;0;0;0;0;0;0;0;0;0;0;0;0
31/5/20;80;0;0;0;0;0;0;0;0;0;0;0;0
1/6/20;81;0;0;0;0;0;0;0;0;0;0;0;0
2/6/20;82;0;0;0;0;0;0;0;0;0;0;0;0
3/6/20;83;0;0;0;0;0;0;0;0;0;0;0;0
4/6/20;84;0;0;0;0;0;0;0;0;0;0;0;0
5/6/20;85;0;0;0;0;0;0;0;0;0;0;0;0
6/6/20;86;0;0;0;0;0;0;0;0;0;0;0;0
7/6/20;87;0;0;0;0;0;0;0;0;0;0;0;0
8/6/20;88;0;0;0;0;0;0;0;0;0;0;0;0
9/6/20;89;0;0;0;0;0;0;0;0;0;0;0;0
10/6/20;90;0;0;0;0;0;0;0;0;0;0;0;0
11/6/20;91;0;0;0;0;0;0;0;0;0;0;0;0
12/6/20;92;0;0;0;0;0;0;0;0;0;0;0;0
13/6/20;93;0;0;0;0;0;0;0;0;0;0;0;0
14/6/20;94;0;0;0;0;0;0;0;0;0;0;0;0
15/6/20;95;0;0;0;0;0;0;0;0;0;0;0;0
16/6/20;96;0;0;0;0;0;0;0;0;0;0;0;0
17/6/20;97;0;0;0;0;0;0;0;0;0;0;0;0
18/6/20;98;0;0;0;0;0;0;0;0;0;0;0;0
19/6/20;99;0;0;0;0;0;0;0;0;0;0;0;0
20/6/20;100;0;0;0;0;0;0;0;0;0;0;0;0
21/6/20;101;0;0;0;0;0;0;0;0;0;0;0;0
22/6/20;102;0;0;0;0;0;0;0;0;0;0;0;0
23/6/20;103;0;0;0;0;0;0;0;0;0;0;0;0
24/6/20;104;0;0;0;0;0;0;0;0;0;0;0;0
25/6/20;105;0;0;0;0;0;0;0;0;0;0;0;0
26/6/20;106;0;0;0;0;0;0;0;0;0;0;0;0
27/6/20;107;0;0;0;0;0;0;0;0;0;0;0;0
28/6/20;108;0;0;0;0;0;0;0;0;0;0;0;0
29/6/20;109;0;0;0;0;0;0;0;0;0;0;0;0
30/6/20;110;0;0;0;0;0;0;0;0;0;0;0;0
1/7/20;111;0;0;0;0;0;0;0;0;0;0;0;0
2/7/20;112;0;0;0;0;0;0;0;0;0;0;0;0
3/7/20;113;0;0;0;0;0;0;0;0;0;0;0;0
4/7/20;114;0;0;0;0;0;0;0;0;0;0;0;0
5/7/20;115;0;0;0;0;0;0;0;0;0;0;0;0
6/7/20;116;0;0;0;0;0;0;0;0;0;0;0;0
7/7/20;117;0;0;0;0;0;0;0;0;0;0;0;0
8/7/20;118;0;0;0;0;0;0;0;0;0;0;0;0
9/7/20;119;0;0;0;0;0;0;0;0;0;0;0;0
10/7/20;120;0;0;0;0;0;0;0;0;0;0;0;0
11/7/20;121;0;0;0;0;0;0;0;0;0;0;0;0
12/7/20;122;0;0;0;0;0;0;0;0;0;0;0;0
13/7/20;123;0;0;0;0;0;0;0;0;0;0;0;0
14/7/20;124;0;0;0;0;0;0;0;0;0;0;0;0
